date,city,pm25,data_quality_flag
2015-02-11,沧州市,105.0,0
2015-02-11,廊坊市,96.0,0
2015-02-11,衡水市,119.0,0
2015-02-12,北京市,31.0,0
2015-02-12,天津市,39.0,0
2015-02-12,石家庄市,122.0,0
2015-02-12,唐山市,92.0,0
2015-02-12,秦皇岛市,37.0,0
2015-02-12,邯郸市,138.0,0
2015-02-12,邢台市,145.0,0
2015-02-12,保定市,144.0,0
2015-02-12,张家口市,19.0,0
2015-02-12,承德市,25.0,0
2015-02-12,沧州市,49.0,0
2015-02-12,廊坊市,30.0,0
2015-02-12,衡水市,66.0,0
2015-02-13,北京市,120.0,0
2015-02-13,天津市,85.0,0
2015-02-13,石家庄市,131.0,0
2015-02-13,唐山市,93.0,0
2015-02-13,秦皇岛市,79.0,0
2015-02-13,邯郸市,91.0,0
2015-02-13,邢台市,121.0,0
2015-02-13,保定市,193.0,0
2015-02-13,张家口市,30.0,0
2015-02-13,承德市,49.0,0
2015-02-13,沧州市,72.0,0
2015-02-13,廊坊市,127.0,0
2015-02-13,衡水市,118.0,0
2015-02-14,北京市,236.0,0
2015-02-14,天津市,186.0,0
2015-02-14,石家庄市,154.0,0
2015-02-14,唐山市,223.0,0
2015-02-14,秦皇岛市,173.0,0
2015-02-14,邯郸市,129.0,0
2015-02-14,邢台市,180.0,0
2015-02-14,保定市,240.0,0
2015-02-14,张家口市,46.0,0
2015-02-14,承德市,86.0,0
2015-02-14,沧州市,131.0,0
2015-02-14,廊坊市,222.0,0
2015-02-14,衡水市,163.0,0
2015-02-15,北京市,284.0,0
2015-02-15,天津市,124.0,0
2015-02-15,石家庄市,173.0,0
2015-02-15,唐山市,137.0,0
2015-02-15,秦皇岛市,85.0,0
2015-02-15,邯郸市,174.0,0
2015-02-15,邢台市,215.0,0
2015-02-15,保定市,206.0,0
2015-02-15,张家口市,36.0,0
2015-02-15,承德市,73.0,0
2015-02-15,沧州市,116.0,0
2015-02-15,廊坊市,181.0,0
2015-02-15,衡水市,170.0,0
2015-02-16,北京市,121.0,0
2015-02-16,天津市,120.0,0
2015-02-16,石家庄市,93.0,0
2015-02-16,唐山市,151.0,0
2015-02-16,秦皇岛市,113.0,0
2015-02-16,邯郸市,123.0,0
2015-02-16,邢台市,182.0,0
2015-02-16,保定市,149.0,0
2015-02-16,张家口市,15.0,0
2015-02-16,承德市,49.0,0
2015-02-16,沧州市,85.0,0
2015-02-16,廊坊市,129.0,0
2015-02-16,衡水市,99.0,0
2015-02-17,北京市,21.0,0
2015-02-17,天津市,42.0,0
2015-02-17,石家庄市,83.0,0
2015-02-17,唐山市,47.0,0
2015-02-17,秦皇岛市,50.0,0
2015-02-17,邯郸市,139.0,0
2015-02-17,邢台市,152.0,0
2015-02-17,保定市,102.0,0
2015-02-17,张家口市,13.0,0
2015-02-17,承德市,21.0,0
2015-02-17,沧州市,64.0,0
2015-02-17,廊坊市,27.0,0
2015-02-17,衡水市,93.0,0
2015-02-18,北京市,45.0,0
2015-02-18,天津市,64.0,0
2015-02-18,石家庄市,96.0,0
2015-02-18,唐山市,84.0,0
2015-02-18,秦皇岛市,32.0,0
2015-02-18,邯郸市,66.0,0
2015-02-18,邢台市,80.0,0
2015-02-18,保定市,178.0,0
2015-02-18,张家口市,15.0,0
2015-02-18,承德市,36.0,0
2015-02-18,沧州市,58.0,0
2015-02-18,廊坊市,86.0,0
2015-02-18,衡水市,154.0,0
2015-02-19,北京市,217.0,0
2015-02-19,天津市,82.0,0
2015-02-19,石家庄市,221.0,0
2015-02-19,唐山市,102.0,0
2015-02-19,秦皇岛市,93.0,0
2015-02-19,邯郸市,139.0,0
2015-02-19,邢台市,256.0,0
2015-02-19,保定市,161.0,0
2015-02-19,张家口市,37.0,0
2015-02-19,承德市,151.0,0
2015-02-19,沧州市,84.0,0
2015-02-19,廊坊市,197.0,0
2015-02-19,衡水市,149.0,0
2015-02-20,北京市,138.0,0
2015-02-20,天津市,61.0,0
2015-02-20,石家庄市,189.0,0
2015-02-20,唐山市,74.0,0
2015-02-20,秦皇岛市,60.0,0
2015-02-20,邯郸市,125.0,0
2015-02-20,邢台市,261.0,0
2015-02-20,保定市,237.0,0
2015-02-20,张家口市,51.0,0
2015-02-20,承德市,96.0,0
2015-02-20,沧州市,91.0,0
2015-02-20,廊坊市,131.0,0
2015-02-20,衡水市,162.0,0
2015-02-21,北京市,152.0,0
2015-02-21,天津市,115.0,0
2015-02-21,石家庄市,142.0,0
2015-02-21,唐山市,103.0,0
2015-02-21,秦皇岛市,94.0,0
2015-02-21,邯郸市,109.0,0
2015-02-21,邢台市,204.0,0
2015-02-21,保定市,230.0,0
2015-02-21,张家口市,37.0,0
2015-02-21,承德市,79.0,0
2015-02-21,沧州市,117.0,0
2015-02-21,廊坊市,162.0,0
2015-02-21,衡水市,212.0,0
2015-02-22,北京市,41.0,0
2015-02-22,天津市,39.0,0
2015-02-22,石家庄市,24.0,0
2015-02-22,唐山市,54.0,0
2015-02-22,秦皇岛市,69.0,0
2015-02-22,邯郸市,27.0,0
2015-02-22,邢台市,38.0,0
2015-02-22,保定市,35.0,0
2015-02-22,张家口市,19.0,0
2015-02-22,承德市,69.0,0
2015-02-22,沧州市,37.0,0
2015-02-22,廊坊市,32.0,0
2015-02-22,衡水市,33.0,0
2015-02-23,北京市,55.0,0
2015-02-23,天津市,43.0,0
2015-02-23,石家庄市,68.0,0
2015-02-23,唐山市,59.0,0
2015-02-23,秦皇岛市,31.0,0
2015-02-23,邯郸市,69.0,0
2015-02-23,邢台市,106.0,0
2015-02-23,保定市,100.0,0
2015-02-23,张家口市,16.0,0
2015-02-23,承德市,29.0,0
2015-02-23,沧州市,67.0,0
2015-02-23,廊坊市,51.0,0
2015-02-23,衡水市,95.0,0
2015-02-24,北京市,153.0,0
2015-02-24,天津市,97.0,0
2015-02-24,石家庄市,152.0,0
2015-02-24,唐山市,116.0,0
2015-02-24,秦皇岛市,66.0,0
2015-02-24,邯郸市,110.0,0
2015-02-24,邢台市,225.0,0
2015-02-24,保定市,265.0,0
2015-02-24,张家口市,17.0,0
2015-02-24,承德市,68.0,0
2015-02-24,沧州市,118.0,0
2015-02-24,廊坊市,134.0,0
2015-02-24,衡水市,172.0,0
2015-02-25,北京市,74.0,0
2015-02-25,天津市,86.0,0
2015-02-25,石家庄市,145.0,0
2015-02-25,唐山市,126.0,0
2015-02-25,秦皇岛市,88.0,0
2015-02-25,邯郸市,165.0,0
2015-02-25,邢台市,239.0,0
2015-02-25,保定市,136.0,0
2015-02-25,张家口市,12.0,0
2015-02-25,承德市,59.0,0
2015-02-25,沧州市,94.0,0
2015-02-25,廊坊市,84.0,0
2015-02-25,衡水市,185.0,0
2015-02-26,北京市,12.0,0
2015-02-26,天津市,36.0,0
2015-02-26,石家庄市,45.0,0
2015-02-26,唐山市,43.0,0
2015-02-26,秦皇岛市,23.0,0
2015-02-26,邯郸市,98.0,0
2015-02-26,邢台市,86.0,0
2015-02-26,保定市,68.0,0
2015-02-26,张家口市,14.0,0
2015-02-26,承德市,18.0,0
2015-02-26,沧州市,53.0,0
2015-02-26,廊坊市,26.0,0
2015-02-26,衡水市,66.0,0
2015-02-27,北京市,23.0,0
2015-02-27,天津市,21.0,0
2015-02-27,石家庄市,60.0,0
2015-02-27,唐山市,39.0,0
2015-02-27,秦皇岛市,19.0,0
2015-02-27,邯郸市,46.0,0
2015-02-27,邢台市,69.0,0
2015-02-27,保定市,68.0,0
2015-02-27,张家口市,16.0,0
2015-02-27,承德市,20.0,0
2015-02-27,沧州市,37.0,0
2015-02-27,廊坊市,21.0,0
2015-02-27,衡水市,60.0,0
2015-02-28,北京市,123.0,0
2015-02-28,天津市,54.0,0
2015-02-28,石家庄市,100.0,0
2015-02-28,唐山市,70.0,0
2015-02-28,秦皇岛市,70.0,0
2015-02-28,邯郸市,64.0,0
2015-02-28,邢台市,98.0,0
2015-02-28,保定市,153.0,0
2015-02-28,张家口市,26.0,0
2015-02-28,承德市,50.0,0
2015-02-28,沧州市,47.0,0
